multa_id,patente,fecha,hora,velocidad_registrada,velocidad_maxima,ubicacion,radar_id,estado_multa,exceso_velocidad_real,exceso_velocidad,imagen,patente_imagen,ratio
35,GE1466,2020-11-22,08:02,67.0,40,AV LIBERTADOR,R03,ERROR,27.0,25.0,,,66.67
36,J1S1,1932-01-01,18:01,85.0,40,AV LIBERTADOR,,APELADA,45.0,43.0,data/raw/imgs/urban_flow_plates/e82f13b4a2fe69f3_patente_1.jpg,J1S1,100.0
40,VTIIAHV,2023-04-30,09:03,71.0,60,AV LIBERTADOR,R03,APELADA,11.0,8.0,,,76.92
41,6611172,2022-02-26,08:02,109.0,60,AV LIBERTADOR,R02,PAGADA,49.0,46.0,data/raw/imgs/urban_flow_plates/7a1f9520c7ecd5b1_patente.jpg,6611172,100.0
44,GCP332,2024-01-26,14:02,106.0,40,AV LIBERTADOR,,IMPAGA,66.0,64.0,data/raw/imgs/urban_flow_plates/d648b2ae1abc09f3_patente.jpg,G0GCP332,85.71
47,W326AVE,2020-05-28,00:00,70.0,60,RUTA 9,R01,IMPAGA,10.0,7.0,data/raw/imgs/urban_flow_plates/6c144e47161867c2_patente.jpg,W326AVE,100.0
49,810TCH,2022-03-03,09:04,156.0,80,AV LIBERTADOR,R02,ERROR,76.0,72.0,,,54.55
50,GCP332,2023-12-08,08:02,66.0,40,AV SIEMPRE VIVA,R02,APELADA,26.0,24.0,data/raw/imgs/urban_flow_plates/d648b2ae1abc09f3_patente.jpg,G0GCP332,85.71
51,BB8986,2023-04-18,08:03,90.0,80,RUTA 9,R02,IMPAGA,10.0,6.0,data/raw/imgs/urban_flow_plates/7cbc7ee444622a66_patente.jpg,BB8986,100.0
53,HF58HXP,1932-01-01,09:04,50.0,40,AV SIEMPRE VIVA,R02,PAGADA,10.0,8.0,data/raw/imgs/urban_flow_plates/9a795bbf4e94d630_patente.jpg,HF5BHXP,85.71
55,9999868,2020-02-09,00:00,57.0,40,AV SIEMPRE VIVA,R01,ERROR,17.0,15.0,,,71.43
56,VTIIAHV,1932-01-01,08:03,54.0,40,AV LIBERTADOR,R01,ERROR,14.0,12.0,,,76.92
57,NTHGLFT,2022-05-26,09:04,93.0,80,AV SIEMPRE VIVA,R02,PAGADA,13.0,9.0,,,37.84
59,FD1475,2022-01-07,14:03,59.0,40,RUTA 9,R02,PAGADA,19.0,17.0,data/raw/imgs/urban_flow_plates/d8daed582e6cce2d_patente.jpg,FD147,90.91
60,FVIOUHP,1932-01-01,18:02,124.0,80,RUTA 9,R01,APELADA,44.0,40.0,data/raw/imgs/urban_flow_plates/28e26a4eb646c67a_patente.jpg,FVLDUHP,85.71
61,VY90540,2022-08-11,00:00,99.0,80,RUTA 9,R01,ERROR,19.0,15.0,data/raw/imgs/urban_flow_plates/288a95c01e43cd14_patente_1.jpg,VY90540,100.0
63,6NCE831,2022-12-14,08:03,81.0,60,AV LIBERTADOR,R02,ERROR,21.0,18.0,,,66.67
64,M431ZW,1932-01-01,09:04,86.0,80,RUTA 9,R01,APELADA,6.0,2.0,data/raw/imgs/urban_flow_plates/299f0363ae21d1c3_patente.jpg,M431ZM,83.33
66,NTHGLFT,1932-01-01,08:04,152.0,80,RUTA 9,R03,IMPAGA,72.0,68.0,,,37.84
68,HK06YMX,2020-11-11,14:03,76.0,40,AV SIEMPRE VIVA,,PAGADA,36.0,34.0,data/raw/imgs/urban_flow_plates/9a4fe6361597f264_patente.jpg,HKO6YMX,85.71
69,VNK296GP,2021-05-25,18:02,77.0,40,RUTA 9,R03,IMPAGA,37.0,35.0,,,75.0
71,RFH373,2021-07-14,09:05,116.0,80,AV LIBERTADOR,R01,PAGADA,36.0,32.0,,,36.36
72,HK06YMX,2021-05-30,14:03,104.0,60,AV SIEMPRE VIVA,R02,PAGADA,44.0,41.0,data/raw/imgs/urban_flow_plates/9a4fe6361597f264_patente.jpg,HKO6YMX,85.71
75,W326AVE,2021-04-21,00:00,57.0,40,AV LIBERTADOR,R01,PAGADA,17.0,15.0,data/raw/imgs/urban_flow_plates/6c144e47161867c2_patente.jpg,W326AVE,100.0
77,B81JKY,1932-01-01,00:00,83.0,40,RUTA 9,R01,PAGADA,43.0,41.0,,,72.73
79,MVU4688,1932-01-01,08:04,96.0,60,AV SIEMPRE VIVA,R02,ERROR,36.0,33.0,data/raw/imgs/urban_flow_plates/3feecc5809a29627_patente.jpg,MVU4688,100.0
81,8B90638,2022-04-10,18:03,108.0,60,AV SIEMPRE VIVA,R03,IMPAGA,48.0,45.0,,,54.55
82,5777770,2020-02-13,09:05,60.0,40,AV SIEMPRE VIVA,R01,PAGADA,20.0,18.0,data/raw/imgs/urban_flow_plates/7f56adf4b9306ac9_patente.jpg,5777770,100.0
88,NAN,1932-01-01,18:03,148.0,80,AV LIBERTADOR,R01,PAGADA,68.0,64.0,,,40.0
90,MVU4688,2023-09-21,18:04,49.0,40,RUTA 9,,PAGADA,9.0,7.0,data/raw/imgs/urban_flow_plates/3feecc5809a29627_patente.jpg,MVU4688,100.0
91,INTIGR8,2023-07-09,00:00,148.0,80,AV LIBERTADOR,R01,PAGADA,68.0,64.0,,,66.67
92,CD05601,2023-08-15,14:04,103.0,40,AV LIBERTADOR,R02,ERROR,63.0,61.0,,,57.14
93,3646HBH,2022-04-23,08:04,73.0,60,AV LIBERTADOR,R01,IMPAGA,13.0,10.0,data/raw/imgs/urban_flow_plates/d3729058c6a4186e_patente.jpg,3646HBH,100.0
101,RFH373,2022-05-12,14:04,101.0,40,AV LIBERTADOR,R01,PAGADA,61.0,59.0,,,36.36
102,B81JKY,2023-10-10,18:04,147.0,80,AV LIBERTADOR,R02,ERROR,67.0,63.0,,,72.73
103,5777770,2020-05-19,09:06,91.0,60,AV LIBERTADOR,R03,ERROR,31.0,28.0,data/raw/imgs/urban_flow_plates/7f56adf4b9306ac9_patente.jpg,5777770,100.0
104,CD05601,1932-01-01,18:04,114.0,60,AV LIBERTADOR,,APELADA,54.0,51.0,,,57.14
106,WEFLYN,1932-01-01,09:06,77.0,40,RUTA 9,,IMPAGA,37.0,35.0,,,50.0
109,DI2LOT,2021-08-12,00:00,77.0,60,AV SIEMPRE VIVA,R03,PAGADA,17.0,14.0,,,42.86
114,BX55DOG,1932-01-01,18:05,121.0,60,RUTA 9,,ERROR,61.0,58.0,,,71.43
127,8B90638,1932-01-01,14:04,116.0,40,AV SIEMPRE VIVA,R01,ERROR,76.0,74.0,,,54.55
129,T0YDR,2022-09-24,00:00,123.0,80,AV SIEMPRE VIVA,R02,PAGADA,43.0,39.0,,,42.11
131,409,1932-01-01,09:07,106.0,80,AV SIEMPRE VIVA,R01,PAGADA,26.0,22.0,,,50.0
134,UW3932,1932-01-01,18:06,101.0,80,RUTA 9,R01,APELADA,21.0,17.0,,,46.15
138,831MDB,2021-09-05,18:06,153.0,80,AV SIEMPRE VIVA,R03,ERROR,73.0,69.0,,,62.5
140,MVU4688,1932-01-01,09:08,110.0,60,AV LIBERTADOR,R03,PAGADA,50.0,47.0,data/raw/imgs/urban_flow_plates/3feecc5809a29627_patente.jpg,MVU4688,100.0
141,INTIGR8,2022-04-13,00:00,108.0,60,AV LIBERTADOR,R03,IMPAGA,48.0,45.0,,,66.67
144,HF58HXP,1932-01-01,08:06,79.0,40,RUTA 9,R03,ERROR,39.0,37.0,data/raw/imgs/urban_flow_plates/9a795bbf4e94d630_patente.jpg,HF5BHXP,85.71
146,T0YDR,2022-07-03,18:07,125.0,80,AV LIBERTADOR,R02,APELADA,45.0,41.0,,,42.11
147,WEFLYN,2021-12-13,09:08,129.0,60,AV SIEMPRE VIVA,,ERROR,69.0,66.0,,,50.0
148,FD1475,2023-10-07,09:08,106.0,80,AV LIBERTADOR,R03,ERROR,26.0,22.0,data/raw/imgs/urban_flow_plates/d8daed582e6cce2d_patente.jpg,FD147,90.91
149,990XYK,2022-11-25,14:05,109.0,80,AV LIBERTADOR,,APELADA,29.0,25.0,,,40.0
150,INTIGR8,2020-01-04,08:07,100.0,60,AV SIEMPRE VIVA,R03,APELADA,40.0,37.0,,,66.67
155,691XC80,2024-03-01,00:00,116.0,80,RUTA 9,R01,PAGADA,36.0,32.0,data/raw/imgs/urban_flow_plates/5a122adbb1a776b7_patente.jpg,691XC80,100.0
161,990XYK,2020-04-26,09:08,82.0,60,AV LIBERTADOR,R01,APELADA,22.0,19.0,,,40.0
162,NTHGLFT,2020-06-10,08:07,118.0,60,AV LIBERTADOR,R03,IMPAGA,58.0,55.0,,,37.84
164,MVU4688,2020-10-07,00:00,97.0,80,RUTA 9,R03,PAGADA,17.0,13.0,data/raw/imgs/urban_flow_plates/3feecc5809a29627_patente.jpg,MVU4688,100.0
165,GE1466,2021-09-25,00:00,108.0,40,AV LIBERTADOR,,APELADA,68.0,66.0,,,66.67
166,BM351,2020-02-24,14:05,112.0,80,RUTA 9,,ERROR,32.0,28.0,data/raw/imgs/urban_flow_plates/9995dfc6e0eae5a1_patente.jpg,BM351,100.0
170,WEFLYN,2021-01-18,18:08,88.0,80,AV LIBERTADOR,R02,PAGADA,8.0,4.0,,,50.0
171,CD05601,2023-08-11,00:00,75.0,40,RUTA 9,R03,IMPAGA,35.0,33.0,,,57.14
172,810TCH,2020-08-02,14:05,110.0,40,RUTA 9,R03,APELADA,70.0,68.0,,,54.55
176,B81JKY,1932-01-01,09:09,91.0,60,AV SIEMPRE VIVA,R01,PAGADA,31.0,28.0,,,72.73
178,WU341A,2020-11-18,09:09,70.0,60,RUTA 9,R02,PAGADA,10.0,7.0,,,50.0
182,NAN,2023-09-22,00:00,107.0,60,AV LIBERTADOR,R01,PAGADA,47.0,44.0,,,40.0
183,UM96201,1932-01-01,08:08,102.0,40,AV SIEMPRE VIVA,R03,PAGADA,62.0,60.0,data/raw/imgs/urban_flow_plates/09453a7c716a9ef3_patente.jpg,UM96201,100.0
184,81ZFJD,1932-01-01,00:00,111.0,80,RUTA 9,R03,ERROR,31.0,27.0,,,72.73
188,TL03GOG,2021-08-13,08:08,93.0,40,RUTA 9,,PAGADA,53.0,51.0,,,46.15
190,VNK296GP,2020-03-03,09:10,153.0,80,AV LIBERTADOR,R01,PAGADA,73.0,69.0,,,75.0
191,VY90540,2022-02-05,08:08,98.0,60,RUTA 9,,IMPAGA,38.0,35.0,data/raw/imgs/urban_flow_plates/288a95c01e43cd14_patente_1.jpg,VY90540,100.0
192,YLO8WUE,2021-12-18,18:09,140.0,80,AV SIEMPRE VIVA,,ERROR,60.0,56.0,,,46.15
193,3646HBH,2021-04-03,09:10,117.0,40,AV SIEMPRE VIVA,R01,PAGADA,77.0,75.0,data/raw/imgs/urban_flow_plates/d3729058c6a4186e_patente.jpg,3646HBH,100.0
197,DK414N,2020-05-03,00:00,69.0,40,AV SIEMPRE VIVA,,APELADA,29.0,27.0,,,61.54
200,5777770,2022-09-13,14:06,85.0,60,RUTA 9,R02,PAGADA,25.0,22.0,data/raw/imgs/urban_flow_plates/7f56adf4b9306ac9_patente.jpg,5777770,100.0
202,6611172,1932-01-01,18:09,137.0,60,RUTA 9,R03,ERROR,77.0,74.0,data/raw/imgs/urban_flow_plates/7a1f9520c7ecd5b1_patente.jpg,6611172,100.0
204,6611172,2020-04-18,14:06,93.0,80,AV LIBERTADOR,R03,PAGADA,13.0,9.0,data/raw/imgs/urban_flow_plates/7a1f9520c7ecd5b1_patente.jpg,6611172,100.0
207,OUTSTDN,1932-01-01,14:07,159.0,80,AV SIEMPRE VIVA,R02,PAGADA,79.0,75.0,,,53.85
208,VNK296GP,1932-01-01,09:11,79.0,60,AV LIBERTADOR,R02,ERROR,19.0,16.0,,,75.0
209,GN64OTP,1932-01-01,18:09,97.0,60,RUTA 9,,IMPAGA,37.0,34.0,,,57.14
211,2999961,2022-06-06,00:00,97.0,80,RUTA 9,R03,PAGADA,17.0,13.0,data/raw/imgs/urban_flow_plates/5ff91ccfc6f15d04_patente.jpg,2999961,100.0
216,M431ZW,2022-03-07,09:11,109.0,60,RUTA 9,R03,APELADA,49.0,46.0,data/raw/imgs/urban_flow_plates/299f0363ae21d1c3_patente.jpg,M431ZM,83.33
217,B81JKY,2022-08-02,00:00,92.0,40,RUTA 9,R03,APELADA,52.0,50.0,,,72.73
218,5777770,1932-01-01,00:00,129.0,60,AV LIBERTADOR,R02,APELADA,69.0,66.0,data/raw/imgs/urban_flow_plates/7f56adf4b9306ac9_patente.jpg,5777770,100.0
221,RFH373,2021-11-24,09:11,156.0,80,AV SIEMPRE VIVA,R02,APELADA,76.0,72.0,,,36.36
222,XIIUME,2023-06-25,18:10,83.0,60,AV SIEMPRE VIVA,R03,ERROR,23.0,20.0,data/raw/imgs/urban_flow_plates/64de505bd2bac82b_patente.jpg,XLLUME,100.0
227,CD05601,1932-01-01,14:07,109.0,80,AV LIBERTADOR,,IMPAGA,29.0,25.0,,,57.14
228,CT5B876,1932-01-01,18:10,141.0,80,RUTA 9,R02,APELADA,61.0,57.0,data/raw/imgs/urban_flow_plates/39c193bcc0c00f9e_patente.jpg,C75B876,85.71
229,8B90638,2022-06-16,18:10,104.0,60,AV LIBERTADOR,R01,PAGADA,44.0,41.0,,,54.55
231,AI7OVF,2021-04-05,14:07,108.0,60,AV LIBERTADOR,R03,APELADA,48.0,45.0,data/raw/imgs/urban_flow_plates/747b0f12f54703ee_patente.jpg,AL70VF,83.33
233,NHZ1002,1932-01-01,18:10,108.0,40,AV SIEMPRE VIVA,R01,APELADA,68.0,66.0,,,33.33
236,831MDB,2020-09-05,08:09,70.0,60,RUTA 9,R03,PAGADA,10.0,7.0,,,62.5
240,W326AVE,2020-07-31,08:10,100.0,80,AV SIEMPRE VIVA,R01,APELADA,20.0,16.0,data/raw/imgs/urban_flow_plates/6c144e47161867c2_patente.jpg,W326AVE,100.0
241,CT5B876,2022-06-04,18:11,65.0,40,RUTA 9,R03,ERROR,25.0,23.0,data/raw/imgs/urban_flow_plates/39c193bcc0c00f9e_patente.jpg,C75B876,85.71
243,NHZ1002,2021-03-15,00:00,116.0,40,AV LIBERTADOR,R02,IMPAGA,76.0,74.0,,,33.33
247,GN64OTP,2022-01-18,18:11,141.0,80,RUTA 9,R02,APELADA,61.0,57.0,,,57.14
248,VY90540,2020-08-30,18:11,123.0,60,AV LIBERTADOR,,ERROR,63.0,60.0,data/raw/imgs/urban_flow_plates/288a95c01e43cd14_patente_1.jpg,VY90540,100.0
249,6611172,2020-04-13,08:10,78.0,60,AV LIBERTADOR,R02,APELADA,18.0,15.0,data/raw/imgs/urban_flow_plates/7a1f9520c7ecd5b1_patente.jpg,6611172,100.0
256,XIIUME,2020-04-30,00:00,125.0,80,AV SIEMPRE VIVA,R03,ERROR,45.0,41.0,data/raw/imgs/urban_flow_plates/64de505bd2bac82b_patente.jpg,XLLUME,100.0
257,BM351,2023-03-31,14:08,78.0,40,AV SIEMPRE VIVA,R02,ERROR,38.0,36.0,data/raw/imgs/urban_flow_plates/9995dfc6e0eae5a1_patente.jpg,BM351,100.0
258,NAN,2021-07-31,18:12,104.0,80,AV SIEMPRE VIVA,,APELADA,24.0,20.0,,,40.0
259,HAMSTUR,2021-09-30,14:09,141.0,80,AV SIEMPRE VIVA,R03,PAGADA,61.0,57.0,,,63.64
262,BHRP770,2020-03-29,00:00,94.0,60,AV LIBERTADOR,R01,ERROR,34.0,31.0,data/raw/imgs/urban_flow_plates/321ffb38656f7311_patente.jpg,BHRP770,100.0
263,990XYK,2020-11-03,18:12,98.0,60,AV SIEMPRE VIVA,R02,PAGADA,38.0,35.0,,,40.0
268,GLEN1E,2023-09-03,14:09,68.0,60,AV LIBERTADOR,,APELADA,8.0,5.0,,,46.15
275,WEFLYN,2022-03-15,14:09,139.0,80,AV LIBERTADOR,R03,APELADA,59.0,55.0,,,50.0
285,41RSTZ,2022-02-03,14:10,153.0,80,AV LIBERTADOR,R02,ERROR,73.0,69.0,,,75.0
288,GCP332,2023-05-31,08:11,91.0,80,RUTA 9,,IMPAGA,11.0,7.0,data/raw/imgs/urban_flow_plates/d648b2ae1abc09f3_patente.jpg,G0GCP332,85.71
294,810TCH,2023-11-09,18:14,82.0,40,RUTA 9,R03,IMPAGA,42.0,40.0,,,54.55
297,GOOGLE,2022-07-22,00:00,88.0,60,AV SIEMPRE VIVA,R03,APELADA,28.0,25.0,data/raw/imgs/urban_flow_plates/593e594137f374ab.jpg,SGOOGLE,92.31
298,VY90540,2021-09-18,00:00,99.0,80,RUTA 9,R01,ERROR,19.0,15.0,data/raw/imgs/urban_flow_plates/288a95c01e43cd14_patente_1.jpg,VY90540,100.0
301,J1S1,1932-01-01,09:13,121.0,80,AV SIEMPRE VIVA,,PAGADA,41.0,37.0,data/raw/imgs/urban_flow_plates/e82f13b4a2fe69f3_patente_1.jpg,J1S1,100.0
302,GN64OTP,2021-08-11,18:14,157.0,80,RUTA 9,R03,ERROR,77.0,73.0,,,57.14
303,CBMUK,1932-01-01,14:10,99.0,60,AV LIBERTADOR,R01,APELADA,39.0,36.0,,,42.86
306,XIIUME,2023-07-26,08:12,133.0,80,AV SIEMPRE VIVA,R02,IMPAGA,53.0,49.0,data/raw/imgs/urban_flow_plates/64de505bd2bac82b_patente.jpg,XLLUME,100.0
307,409,2023-06-01,18:14,96.0,40,RUTA 9,R01,PAGADA,56.0,54.0,,,50.0
308,FD1475,2022-09-13,08:12,153.0,80,RUTA 9,,ERROR,73.0,69.0,data/raw/imgs/urban_flow_plates/d8daed582e6cce2d_patente.jpg,FD147,90.91
309,VTIIAHV,2022-07-03,14:10,124.0,60,RUTA 9,R02,ERROR,64.0,61.0,,,76.92
311,CBMUK,2023-02-04,09:13,120.0,40,RUTA 9,R01,PAGADA,80.0,78.0,,,42.86
312,NAN,1932-01-01,09:14,50.0,40,AV LIBERTADOR,R01,ERROR,10.0,8.0,,,40.0
315,MPX9357,2020-02-10,09:14,104.0,60,AV LIBERTADOR,R03,IMPAGA,44.0,41.0,data/raw/imgs/urban_flow_plates/182268e1f8c6525f_patente.jpg,MPX9357,100.0
317,GN64OTP,1932-01-01,18:15,88.0,80,RUTA 9,R01,IMPAGA,8.0,4.0,,,57.14
319,WU341A,1932-01-01,09:14,73.0,40,AV LIBERTADOR,R02,IMPAGA,33.0,31.0,,,50.0
320,OUTSTDN,2020-12-18,08:12,120.0,60,RUTA 9,,ERROR,60.0,57.0,,,53.85
322,UW3932,2021-12-07,08:13,100.0,80,AV SIEMPRE VIVA,R02,ERROR,20.0,16.0,,,46.15
324,HAMSTUR,1932-01-01,09:14,96.0,80,AV LIBERTADOR,R03,PAGADA,16.0,12.0,,,63.64
325,9999868,2022-12-21,00:00,159.0,80,RUTA 9,R02,ERROR,79.0,75.0,,,71.43
327,J1S1,2020-02-28,00:00,93.0,40,AV LIBERTADOR,R01,ERROR,53.0,51.0,data/raw/imgs/urban_flow_plates/e82f13b4a2fe69f3_patente_1.jpg,J1S1,100.0
328,GN64OTP,1932-01-01,14:11,156.0,80,AV SIEMPRE VIVA,R02,PAGADA,76.0,72.0,,,57.14
329,UM96201,2021-11-17,18:15,133.0,60,RUTA 9,R03,APELADA,73.0,70.0,data/raw/imgs/urban_flow_plates/09453a7c716a9ef3_patente.jpg,UM96201,100.0
332,HK06YMX,2023-09-10,00:00,151.0,80,AV SIEMPRE VIVA,,PAGADA,71.0,67.0,data/raw/imgs/urban_flow_plates/9a4fe6361597f264_patente.jpg,HKO6YMX,85.71
334,810TCH,2023-08-21,00:00,64.0,40,AV LIBERTADOR,,IMPAGA,24.0,22.0,,,54.55
340,T0YDR,2021-10-25,18:15,105.0,40,AV LIBERTADOR,R03,APELADA,65.0,63.0,,,42.11
342,6611172,2023-03-12,09:16,79.0,40,AV LIBERTADOR,R03,APELADA,39.0,37.0,data/raw/imgs/urban_flow_plates/7a1f9520c7ecd5b1_patente.jpg,6611172,100.0
353,FVIOUHP,2023-02-22,14:12,127.0,80,AV LIBERTADOR,,PAGADA,47.0,43.0,data/raw/imgs/urban_flow_plates/28e26a4eb646c67a_patente.jpg,FVLDUHP,85.71
354,HF58HXP,2020-12-25,14:12,105.0,80,AV LIBERTADOR,R01,APELADA,25.0,21.0,data/raw/imgs/urban_flow_plates/9a795bbf4e94d630_patente.jpg,HF5BHXP,85.71
356,MX60NZA,2022-09-11,09:16,67.0,60,AV LIBERTADOR,R02,PAGADA,7.0,4.0,,,42.86
362,NAN,2020-11-28,14:12,65.0,40,RUTA 9,,APELADA,25.0,23.0,,,40.0
364,HK06YMX,1932-01-01,14:12,90.0,40,AV LIBERTADOR,R02,PAGADA,50.0,48.0,data/raw/imgs/urban_flow_plates/9a4fe6361597f264_patente.jpg,HKO6YMX,85.71
371,8B90638,2023-10-10,18:17,90.0,40,RUTA 9,R01,IMPAGA,50.0,48.0,,,54.55
380,691XC80,2023-09-29,09:18,103.0,80,AV LIBERTADOR,R01,APELADA,23.0,19.0,data/raw/imgs/urban_flow_plates/5a122adbb1a776b7_patente.jpg,691XC80,100.0
382,589222,1932-01-01,08:14,135.0,80,AV SIEMPRE VIVA,R01,IMPAGA,55.0,51.0,data/raw/imgs/urban_flow_plates/246a0e4264a39433_patente.jpg,589222,100.0
383,0695DVH,2023-12-16,18:17,63.0,40,AV LIBERTADOR,R01,ERROR,23.0,21.0,,,66.67
385,409,2021-07-14,08:14,45.0,40,AV LIBERTADOR,R02,APELADA,5.0,3.0,,,50.0
387,MX60NZA,2022-11-11,00:00,125.0,60,AV SIEMPRE VIVA,R02,IMPAGA,65.0,62.0,,,42.86
388,81ZFJD,2020-11-21,09:18,119.0,40,AV LIBERTADOR,R03,ERROR,79.0,77.0,,,72.73
389,GE1466,2023-02-18,14:13,112.0,80,AV LIBERTADOR,R03,IMPAGA,32.0,28.0,,,66.67
392,J1S1,1932-01-01,18:18,134.0,60,RUTA 9,,PAGADA,74.0,71.0,data/raw/imgs/urban_flow_plates/e82f13b4a2fe69f3_patente_1.jpg,J1S1,100.0
393,NAN,2021-12-19,00:00,57.0,40,AV LIBERTADOR,R02,IMPAGA,17.0,15.0,,,40.0
394,GLEN1E,2023-05-05,09:19,133.0,80,AV SIEMPRE VIVA,R02,ERROR,53.0,49.0,,,46.15
396,41RSTZ,2022-11-16,14:13,90.0,80,AV LIBERTADOR,,ERROR,10.0,6.0,,,75.0
397,HF3461,2020-07-01,00:00,94.0,80,RUTA 9,R02,APELADA,14.0,10.0,data/raw/imgs/urban_flow_plates/a6e3b0b73220cd32_patente.jpg,HF3461,100.0
399,810TCH,1932-01-01,09:19,69.0,40,AV SIEMPRE VIVA,R03,IMPAGA,29.0,27.0,,,54.55
400,BM351,2021-01-28,00:00,94.0,60,RUTA 9,,ERROR,34.0,31.0,data/raw/imgs/urban_flow_plates/9995dfc6e0eae5a1_patente.jpg,BM351,100.0
402,YLO8WUE,1932-01-01,09:19,119.0,60,RUTA 9,R02,APELADA,59.0,56.0,,,46.15
404,PIW4215,1932-01-01,18:18,49.0,40,AV SIEMPRE VIVA,R03,PAGADA,9.0,7.0,,,47.62
405,HF58HXP,1932-01-01,09:19,118.0,80,AV SIEMPRE VIVA,,ERROR,38.0,34.0,data/raw/imgs/urban_flow_plates/9a795bbf4e94d630_patente.jpg,HF5BHXP,85.71
406,WU08YWC,1932-01-01,09:20,155.0,80,AV LIBERTADOR,R02,PAGADA,75.0,71.0,,,42.86
407,6EVY261,2022-06-20,08:15,115.0,60,RUTA 9,R01,PAGADA,55.0,52.0,,,58.33
408,MVU4688,2022-06-15,18:18,91.0,40,AV LIBERTADOR,R02,IMPAGA,51.0,49.0,data/raw/imgs/urban_flow_plates/3feecc5809a29627_patente.jpg,MVU4688,100.0
410,UM96201,2023-01-08,00:00,98.0,60,AV SIEMPRE VIVA,R01,PAGADA,38.0,35.0,data/raw/imgs/urban_flow_plates/09453a7c716a9ef3_patente.jpg,UM96201,100.0
412,41RSTZ,2022-04-20,08:15,104.0,60,AV SIEMPRE VIVA,R03,ERROR,44.0,41.0,,,75.0
413,CT5B876,2021-03-23,18:19,104.0,60,AV SIEMPRE VIVA,,PAGADA,44.0,41.0,data/raw/imgs/urban_flow_plates/39c193bcc0c00f9e_patente.jpg,C75B876,85.71
414,YLO8WUE,2021-02-19,09:20,59.0,40,AV LIBERTADOR,R02,IMPAGA,19.0,17.0,,,46.15
416,BX55DOG,1932-01-01,14:13,97.0,40,AV LIBERTADOR,R01,IMPAGA,57.0,55.0,,,71.43
418,WU341A,1932-01-01,09:20,90.0,40,AV SIEMPRE VIVA,R03,ERROR,50.0,48.0,,,50.0
421,XIIUME,2020-04-25,08:15,115.0,40,RUTA 9,R02,PAGADA,75.0,73.0,data/raw/imgs/urban_flow_plates/64de505bd2bac82b_patente.jpg,XLLUME,100.0
422,XIIUME,2024-01-17,18:19,116.0,60,AV SIEMPRE VIVA,R01,IMPAGA,56.0,53.0,data/raw/imgs/urban_flow_plates/64de505bd2bac82b_patente.jpg,XLLUME,100.0
424,XIIUME,2023-05-26,14:14,89.0,40,AV LIBERTADOR,R01,ERROR,49.0,47.0,data/raw/imgs/urban_flow_plates/64de505bd2bac82b_patente.jpg,XLLUME,100.0
428,GN64OTP,2023-07-01,09:20,68.0,60,RUTA 9,R03,APELADA,8.0,5.0,,,57.14
430,FVIOUHP,2023-11-13,00:00,71.0,40,RUTA 9,,APELADA,31.0,29.0,data/raw/imgs/urban_flow_plates/28e26a4eb646c67a_patente.jpg,FVLDUHP,85.71
431,XIIUME,2020-12-02,18:20,114.0,80,AV LIBERTADOR,,IMPAGA,34.0,30.0,data/raw/imgs/urban_flow_plates/64de505bd2bac82b_patente.jpg,XLLUME,100.0
432,6NCE831,2023-06-20,09:21,88.0,80,RUTA 9,R01,PAGADA,8.0,4.0,,,66.67
433,VY90540,1932-01-01,08:16,66.0,60,RUTA 9,R03,APELADA,6.0,3.0,data/raw/imgs/urban_flow_plates/288a95c01e43cd14_patente_1.jpg,VY90540,100.0
